branch_id,branch_name,address,city,state,zip,manager_id,open_date
1,Branch-0001 East,5 Ring Road,Chennai,Tamil Nadu,761084,319,2019-03-30
2,Branch-0002 West,33 Market Road,Pimpri-Chinchwad,Gujarat,457666,743,2016-09-30
3,Branch-0003 Corporate,34 Ring Road,Vadodara,Rajasthan,166191,19,2020-01-20
4,Branch-0004 South,108 Market Road,Kolkata,Tamil Nadu,821715,240,2014-01-07
5,Branch-0005 Corporate,123 Ring Road,Patna,Tamil Nadu,705258,813,2014-11-07
6,Branch-0006 Corporate,51 Market Road,Kanpur,Madhya Pradesh,340047,726,2010-08-19
7,Branch-0007 North,127 Industrial Area,Mumbai,Tamil Nadu,635780,902,2004-04-15
8,Branch-0008 East,194 Market Road,Ghaziabad,Tamil Nadu,185257,542,2022-01-08
9,Branch-0009 East,156 Ring Road,Bengaluru,Rajasthan,508500,797,2008-08-31
10,Branch-0010 South,184 Market Road,Nagpur,Maharashtra,596759,253,2010-01-07
11,Branch-0011 Corporate,2 Ring Road,Nagpur,Madhya Pradesh,605993,576,2006-07-22
12,Branch-0012 South,83 Industrial Area,Kanpur,Madhya Pradesh,662361,205,2008-06-10
13,Branch-0013 West,156 Business Park,Lucknow,Maharashtra,871222,907,2008-09-28
14,Branch-0014 West,131 Ring Road,Pune,West Bengal,543538,718,2000-06-27
15,Branch-0015 South,68 Market Road,Ahmedabad,Gujarat,126511,30,2018-11-26
16,Branch-0016 Central,96 Industrial Area,Ahmedabad,Rajasthan,756293,392,2007-01-15
17,Branch-0017 West,115 Ring Road,Hyderabad,Gujarat,578091,283,2008-11-14
18,Branch-0018 Corporate,157 Industrial Area,Lucknow,Karnataka,714969,132,2014-06-24
19,Branch-0019 Central,33 Business Park,Kanpur,Uttar Pradesh,600277,378,2006-05-11
20,Branch-0020 South,186 Industrial Area,Patna,Maharashtra,759439,445,2014-07-12
21,Branch-0021 East,47 Ring Road,Ghaziabad,Maharashtra,774885,290,2014-07-14
